scenario,date,cash,position_value,total_equity,turnover,cum_return
ma120_cash_top3,2025-06-12,9.169965542058692e-11,886927.7162449437,886927.7162449438,0.0,-0.1130722837550561
ma120_cash_top3,2025-06-13,9.170339599176809e-11,879832.2223915013,879832.2223915014,0.0,-0.1201677776084986
ma120_cash_top3,2025-06-16,9.171461862083877e-11,890447.1587116416,890447.1587116417,0.0,-0.1095528412883583
ma120_cash_top3,2025-06-17,9.171835980239211e-11,889122.024572394,889122.0245723941,0.0,-0.1108779754276059
ma120_cash_top3,2025-06-18,9.172210113655404e-11,897506.9061926256,897506.9061926258,0.0,-0.1024930938073742
ma120_cash_top3,2025-06-19,9.17258426233308e-11,896140.0469582013,896140.0469582014,0.0,-0.1038599530417985
ma120_cash_top3,2025-06-20,9.17295842627286e-11,906740.0994534716,906740.0994534716,0.0,-0.0932599005465283
ma120_cash_top3,2025-06-23,3.291233952040784e-11,919193.2545117612,919193.2545117612,0.000630258294499,-0.0808067454882387
ma120_cash_top3,2025-06-24,3.2913682065787657e-11,921977.185156504,921977.185156504,0.0,-0.078022814843496
ma120_cash_top3,2025-06-25,3.291502466593198e-11,933119.0582931256,933119.0582931256,0.0,-0.0668809417068745
ma120_cash_top3,2025-06-26,3.2916367320843046e-11,940583.1759953132,940583.1759953132,0.0,-0.0594168240046866
ma120_cash_top3,2025-06-27,3.2917710030523085e-11,915694.3848563448,915694.3848563448,0.0,-0.0843056151436552
ma120_cash_top3,2025-06-30,3.292173848819941e-11,912468.5512651912,912468.5512651912,0.0,-0.0875314487348086
ma120_cash_top3,2025-07-01,3.2923081416977704e-11,925992.3039392174,925992.3039392174,0.0,-0.0740076960607826
ma120_cash_top3,2025-07-02,3.292442440053614e-11,931942.9716026932,931942.9716026932,0.0,-0.0680570283973066
ma120_cash_top3,2025-07-03,3.292576743887696e-11,932141.6614860706,932141.6614860706,0.0,-0.0678583385139294
ma120_cash_top3,2025-07-04,3.2927110532002395e-11,949694.4301198712,949694.4301198712,0.0,-0.0503055698801288
ma120_cash_top3,2025-07-07,2.592569217085839e-07,951985.695869524,951985.6958697834,0.6647048803145256,-0.0480143041302165
ma120_cash_top3,2025-07-08,2.592674972005573e-07,950535.8252344246,950535.8252346838,0.0,-0.0494641747653161
ma120_cash_top3,2025-07-09,2.592780731239214e-07,953428.0961414046,953428.0961416638,0.0,-0.0465719038583362
ma120_cash_top3,2025-07-10,2.592886494786939e-07,964652.6405060918,964652.640506351,0.0,-0.0353473594936489
ma120_cash_top3,2025-07-11,2.592992262648923e-07,953094.0239990192,953094.0239992784,0.0,-0.0469059760007216
ma120_cash_top3,2025-07-14,2.59330959212219e-07,956520.2846838846,956520.284684144,0.0,-0.043479715315856
ma120_cash_top3,2025-07-15,2.593415377242971e-07,946612.8768184608,946612.87681872,0.0,-0.0533871231812799
ma120_cash_top3,2025-07-16,2.59352116667889e-07,942342.335904723,942342.3359049824,0.0,-0.0576576640950176
ma120_cash_top3,2025-07-17,2.5936269604301244e-07,939846.8470342016,939846.8470344607,0.0,-0.0601531529655391
ma120_cash_top3,2025-07-18,2.5937327584968505e-07,945592.6166610164,945592.6166612756,0.0,-0.0544073833387243
ma120_cash_top3,2025-07-21,2.0087463781237602e-07,946838.8355880108,946838.8355882115,1.9939911895431344,-0.0531611644117883
ma120_cash_top3,2025-07-22,2.0088283180043177e-07,950026.981639936,950026.981640137,0.0,-0.049973018359863
ma120_cash_top3,2025-07-23,2.00891026122733e-07,950092.818876512,950092.818876713,0.0,-0.0499071811232869
ma120_cash_top3,2025-07-24,2.0089922077929335e-07,958413.7415514012,958413.7415516024,0.0,-0.0415862584483976
ma120_cash_top3,2025-07-25,2.0090741577012647e-07,957372.60260569,957372.6026058908,0.0,-0.0426273973941091
ma120_cash_top3,2025-07-28,2.0093200274839866e-07,971766.25268856,971766.2526887608,0.0,-0.0282337473112391
ma120_cash_top3,2025-07-29,2.009401990764591e-07,989305.7384096984,989305.7384098994,0.0,-0.0106942615901005
ma120_cash_top3,2025-07-30,2.009483957388605e-07,980912.5731264808,980912.5731266816,0.0,-0.0190874268733184
ma120_cash_top3,2025-07-31,2.009565927356165e-07,970454.2514030064,970454.2514032072,0.0,-0.0295457485967927
ma120_cash_top3,2025-08-01,2.009647900667407e-07,963694.2060768988,963694.2060770998,0.0,-0.0363057939229002
ma120_cash_top3,2025-08-04,2.3242319002747538e-07,966937.9362217312,966937.9362219636,1.3195965717293388,-0.0330620637780362
ma120_cash_top3,2025-08-05,2.3243267092991138e-07,975968.863806164,975968.8638063966,0.0,-0.0240311361936034
ma120_cash_top3,2025-08-06,2.324421522190881e-07,977596.04204761,977596.0420478424,0.0,-0.0224039579521575
ma120_cash_top3,2025-08-07,2.324516338950213e-07,961135.0956980864,961135.0956983188,0.0,-0.0388649043016812
ma120_cash_top3,2025-08-08,2.3246111595772679e-07,955519.376894989,955519.3768952216,0.0,-0.0444806231047785
ma120_cash_top3,2025-08-11,2.3248956446663455e-07,966025.9492157532,966025.9492159856,0.0,-0.0339740507840143
ma120_cash_top3,2025-08-12,2.3249904807658685e-07,964799.7336280388,964799.7336282711,0.0,-0.0352002663717286
ma120_cash_top3,2025-08-13,2.3250853207339038e-07,995232.5079188192,995232.5079190516,0.0,-0.0047674920809483
ma120_cash_top3,2025-08-14,2.3251801645706077e-07,985121.4644511524,985121.4644513848,0.0,-0.0148785355486151
ma120_cash_top3,2025-08-15,2.325275012276139e-07,1000712.5448281702,1000712.5448284028,0.0,0.0007125448284026
ma120_cash_top3,2025-08-18,2.4295877665281296e-07,1007641.889926196,1007641.889926439,1.3243199824949887,0.0076418899264389
ma120_cash_top3,2025-08-19,2.429686873181693e-07,1003912.1681854216,1003912.1681856648,0.0,0.0039121681856646
ma120_cash_top3,2025-08-20,2.4297859838779706e-07,1017374.8185760436,1017374.8185762864,0.0,0.0173748185762865
ma120_cash_top3,2025-08-21,2.429885098617127e-07,1016161.7033275042,1016161.7033277472,0.0,0.0161617033277472
ma120_cash_top3,2025-08-22,2.429984217399327e-07,1031808.8589715884,1031808.8589718316,0.0,0.0318088589718315
ma120_cash_top3,2025-08-25,2.4302815980058417e-07,1049540.779968422,1049540.779968665,0.0,0.0495407799686649
ma120_cash_top3,2025-08-26,2.430380732961867e-07,1046874.4132303664,1046874.4132306096,0.0,0.0468744132306095
ma120_cash_top3,2025-08-27,2.430479871961761e-07,1030686.312640525,1030686.312640768,0.0,0.0306863126407681
ma120_cash_top3,2025-08-28,2.4305790150056885e-07,1046430.1152351836,1046430.1152354268,0.0,0.0464301152354267
ma120_cash_top3,2025-08-29,2.430678162093815e-07,1050038.27631399,1050038.276314233,0.0,0.0500382763142328
ma120_cash_top3,2025-09-01,2.2264430299401286e-07,1091946.3295475412,1091946.3295477638,1.9201250167164416,0.0919463295477638
ma120_cash_top3,2025-09-02,2.2265338500047857e-07,1029010.6388654028,1029010.6388656256,0.0,0.0290106388656254
ma120_cash_top3,2025-09-03,2.2266246737741346e-07,1043638.006811784,1043638.0068120066,0.0,0.0436380068120065
ma120_cash_top3,2025-09-04,2.2267155012483255e-07,955091.8002150788,955091.8002153016,0.0,-0.0449081997846985
ma120_cash_top3,2025-09-05,2.22680633242751e-07,1018978.8839151989,1018978.8839154214,0.0,0.0189788839154214
ma120_cash_top3,2025-09-08,2.227078848196537e-07,979564.2412944338,979564.2412946564,0.0,-0.0204357587053434
ma120_cash_top3,2025-09-09,2.2271696941972075e-07,958447.3988546568,958447.3988548794,0.0,-0.0415526011451206
ma120_cash_top3,2025-09-10,2.227260543903627e-07,998364.1360143723,998364.136014595,0.0,-0.0016358639854049
ma120_cash_top3,2025-09-11,2.2273513973159466e-07,1098189.6361714378,1098189.6361716606,0.0,0.0981896361716605
ma120_cash_top3,2025-09-12,2.227442254434318e-07,1076398.5320662702,1076398.532066493,0.0,0.076398532066493
ma120_cash_top3,2025-09-15,1.164735294878483e-07,1066251.7892712294,1066251.7892713458,0.6766882719519085,0.0662517892713459
ma120_cash_top3,2025-09-16,1.1647828062377977e-07,1074166.2684156431,1074166.2684157596,0.0,0.0741662684157595
ma120_cash_top3,2025-09-17,1.1648303195351745e-07,1084210.10876369,1084210.1087638063,0.0,0.0842101087638063
ma120_cash_top3,2025-09-18,1.1648778347706926e-07,1089743.6134947138,1089743.6134948302,0.0,0.0897436134948301
ma120_cash_top3,2025-09-19,1.1649253519444307e-07,1096652.9963407957,1096652.996340912,0.0,0.0966529963409121
ma120_cash_top3,2025-09-22,1.1650679150957569e-07,1115378.8266731054,1115378.8266732218,0.0,0.1153788266732218
ma120_cash_top3,2025-09-23,1.1651154400231665e-07,1122967.0738013743,1122967.0738014907,0.0,0.1229670738014907
ma120_cash_top3,2025-09-24,1.1651629668891913e-07,1128670.057513753,1128670.0575138694,0.0,0.1286700575138692
ma120_cash_top3,2025-09-25,1.1652104956939109e-07,1150691.950620925,1150691.9506210417,0.0,0.1506919506210415
ma120_cash_top3,2025-09-26,1.1652580264374038e-07,1113775.3835256551,1113775.3835257716,0.0,0.1137753835257715
ma120_cash_top3,2025-09-29,2.3399479687213898e-07,1139902.027908506,1139902.02790874,1.9348516811293872,0.1399020279087399
ma120_cash_top3,2025-09-30,2.340043418828559e-07,1169266.424936055,1169266.424936289,0.0,0.1692664249362889
ma120_cash_top3,2025-10-09,2.340902645022251e-07,1175298.7784141144,1175298.7784143484,0.0,0.1752987784143482
ma120_cash_top3,2025-10-10,2.340998134072147e-07,1089842.098763885,1089842.098764119,0.0,0.0898420987641188
ma120_cash_top3,2025-10-13,2.306187525391579e-07,1077835.7714029332,1077835.7714031637,0.6303594280980299,0.0778357714031636
ma120_cash_top3,2025-10-14,2.3062815983578987e-07,1034082.8167846986,1034082.8167849293,0.0,0.0340828167849291
ma120_cash_top3,2025-10-15,2.3063756751616e-07,1060879.4084603272,1060879.408460558,0.0,0.0608794084605579
ma120_cash_top3,2025-10-16,2.3064697558028406e-07,1061149.946668513,1061149.9466687434,0.0,0.0611499466687432
ma120_cash_top3,2025-10-17,2.3065638402817762e-07,1015958.4960518176,1015958.4960520484,0.0,0.0159584960520482
ma120_cash_top3,2025-10-20,2.306846116746321e-07,1023862.466175573,1023862.4661758036,0.0,0.0238624661758037
ma120_cash_top3,2025-10-21,2.3069402165776038e-07,1041438.8124622672,1041438.812462498,0.0,0.041438812462498
ma120_cash_top3,2025-10-22,2.307034320247364e-07,1025488.7050808482,1025488.7050810788,0.0,0.025488705081079
ma120_cash_top3,2025-10-23,2.3071284277557594e-07,1038162.3877496452,1038162.387749876,0.0,0.0381623877498757
ma120_cash_top3,2025-10-24,2.3072225391029457e-07,1064786.602920507,1064786.6029207378,0.0,0.0647866029207377
