date,cash,position_value,total_equity,cum_return
2024-11-14,0.0,1161286.0190003153,1161286.0190003153,0.16128601900031536
2024-11-15,0.0,1110604.3626450216,1110604.3626450216,0.11060436264502171
2024-11-18,0.0,1082448.5670181364,1082448.5670181364,0.0824485670181363
2024-11-19,0.0,1114125.3405459968,1114125.3405459968,0.11412534054599677
2024-11-20,0.0,1117316.1478237647,1117316.1478237647,0.11731614782376476
2024-11-21,0.0,1130970.0613971215,1130970.0613971215,0.13097006139712142
2024-11-22,0.0,1079316.6182350274,1079316.6182350274,0.07931661823502734
2024-11-25,5.820766091346741e-11,1069472.764866227,1069472.764866227,0.069472764866227
2024-11-26,5.820766091346741e-11,1048597.7652284298,1048597.7652284298,0.048597765228429735
2024-11-27,5.820766091346741e-11,1089353.4341342996,1089353.4341342996,0.08935343413429964
2024-11-28,5.820766091346741e-11,1078900.6151662387,1078900.6151662387,0.07890061516623881
2024-11-29,5.820766091346741e-11,1126362.9017390646,1126362.9017390646,0.12636290173906461
2024-12-02,5.820766091346741e-11,1135055.8902323938,1135055.8902323938,0.13505589023239373
2024-12-03,5.820766091346741e-11,1125116.6568544013,1125116.6568544013,0.12511665685440132
2024-12-04,5.820766091346741e-11,1109910.9963920927,1109910.9963920927,0.10991099639209256
2024-12-05,5.820766091346741e-11,1136388.452319266,1136388.452319266,0.136388452319266
2024-12-06,5.820766091346741e-11,1138327.9709099166,1138327.9709099166,0.13832797090991655
2024-12-09,0.0,1122652.7474339595,1122652.7474339595,0.1226527474339596
2024-12-10,0.0,1136783.4449403123,1136783.4449403123,0.13678344494031225
2024-12-11,0.0,1130496.3484384213,1130496.3484384213,0.13049634843842117
2024-12-12,0.0,1150259.326137064,1150259.326137064,0.15025932613706394
2024-12-13,0.0,1112815.0291207226,1112815.0291207226,0.11281502912072261
2024-12-16,0.0,1093233.360055961,1093233.360055961,0.09323336005596095
2024-12-17,0.0,1088216.7955043458,1088216.7955043458,0.0882167955043458
2024-12-18,0.0,1089878.0564799695,1089878.0564799695,0.08987805647996949
2024-12-19,0.0,1089687.4081117727,1089687.4081117727,0.08968740811177267
2024-12-20,0.0,1096962.177256416,1096962.177256416,0.09696217725641598
2024-12-23,0.0,1071237.309205524,1071237.309205524,0.07123730920552385
2024-12-24,0.0,1083092.1274115157,1083092.1274115157,0.08309212741151573
2024-12-25,0.0,1076425.6980428975,1076425.6980428975,0.07642569804289745
2024-12-26,0.0,1090483.2405131136,1090483.2405131136,0.09048324051311352
2024-12-27,0.0,1088209.314102567,1088209.314102567,0.08820931410256705
2024-12-30,0.0,1093356.3799254857,1093356.3799254857,0.09335637992548573
2024-12-31,0.0,1041862.7720815561,1041862.7720815561,0.04186277208155609
2025-01-02,0.0,994569.4777589032,994569.4777589032,-0.005430522241096858
2025-01-03,0.0,963656.929691005,963656.929691005,-0.036343070308994974
2025-01-06,0.0,964797.1095812891,964797.1095812891,-0.03520289041871083
2025-01-07,0.0,970931.8457216525,970931.8457216525,-0.029068154278347524
2025-01-08,0.0,977735.0924906345,977735.0924906345,-0.022264907509365495
2025-01-09,0.0,972436.6107454884,972436.6107454884,-0.027563389254511517
2025-01-10,0.0,966863.8703654134,966863.8703654134,-0.033136129634586675
2025-01-13,0.0,953633.8330169681,953633.8330169681,-0.046366166983031865
2025-01-14,0.0,967505.9505623804,967505.9505623804,-0.03249404943761958
2025-01-15,0.0,975296.192830732,975296.192830732,-0.02470380716926801
2025-01-16,0.0,984608.9959270903,984608.9959270903,-0.01539100407290972
2025-01-17,0.0,979483.3684040075,979483.3684040075,-0.020516631595992485
2025-01-20,0.0,975836.0347242145,975836.0347242145,-0.02416396527578557
2025-01-21,0.0,975069.6095775173,975069.6095775173,-0.024930390422482795
2025-01-22,0.0,956984.422125341,956984.422125341,-0.04301557787465893
2025-01-23,0.0,981457.6345267236,981457.6345267236,-0.018542365473276368
2025-01-24,0.0,984414.6393106483,984414.6393106483,-0.01558536068935168
2025-01-27,0.0,996878.2269603154,996878.2269603154,-0.003121773039684639
2025-02-05,0.0,981722.4048973713,981722.4048973713,-0.01827759510262872
2025-02-06,0.0,981722.4048973713,981722.4048973713,-0.01827759510262872
2025-02-07,0.0,978814.4393751275,978814.4393751275,-0.021185560624872424
2025-02-10,0.0,980022.9050850364,980022.9050850364,-0.019977094914963578
2025-02-11,0.0,988056.4495553906,988056.4495553906,-0.011943550444609374
2025-02-12,0.0,994390.4942134101,994390.4942134101,-0.005609505786589919
2025-02-13,0.0,997423.2440045831,997423.2440045831,-0.002576755995416846
2025-02-14,0.0,1000255.2776368094,1000255.2776368094,0.0002552776368094367
2025-02-17,0.0,970824.2359200068,970824.2359200068,-0.029175764079993227
2025-02-18,0.0,932659.7385162128,932659.7385162128,-0.06734026148378724
2025-02-19,0.0,953011.6587026259,953011.6587026259,-0.04698834129737406
2025-02-20,0.0,942558.4342548816,942558.4342548816,-0.057441565745118384
2025-02-21,0.0,973725.5773405842,973725.5773405842,-0.026274422659415708
2025-02-24,0.0,961186.1077357007,961186.1077357007,-0.03881389226429932
2025-02-25,0.0,931860.4774916111,931860.4774916111,-0.06813952250838884
2025-02-26,0.0,939839.30075522,939839.30075522,-0.06016069924477996
2025-02-27,0.0,936286.1494415677,936286.1494415677,-0.06371385055843226
2025-02-28,0.0,886738.9439348095,886738.9439348095,-0.11326105606519044
2025-03-03,0.0,870787.3647352306,870787.3647352306,-0.12921263526476945
2025-03-04,0.0,890340.5344943282,890340.5344943282,-0.10965946550567185
2025-03-05,0.0,897733.6180174254,897733.6180174254,-0.10226638198257454
2025-03-06,0.0,925739.4364404446,925739.4364404446,-0.07426056355955546
2025-03-07,0.0,911890.9304874617,911890.9304874617,-0.08810906951253827
2025-03-10,0.0,914145.3421675672,914145.3421675672,-0.08585465783243273
2025-03-11,0.0,907338.9743242572,907338.9743242572,-0.09266102567574275
2025-03-12,0.0,903608.1337592265,903608.1337592265,-0.09639186624077345
2025-03-13,0.0,876964.2605371138,876964.2605371138,-0.12303573946288626
2025-03-14,0.0,891552.3575695899,891552.3575695899,-0.10844764243041016
2025-03-17,0.0,886953.2170464698,886953.2170464698,-0.11304678295353021
