scenario,date,cash,position_value,total_equity,turnover,cum_return
category_cap1,2025-08-12,2.203879030728478e-07,943827.6696149824,943827.6696152028,0.0,-0.05617233038479719
category_cap1,2025-08-13,2.2039689303726081e-07,985532.2114427302,985532.2114429505,0.0,-0.014467788557049444
category_cap1,2025-08-14,2.2040588336838841e-07,968568.5786914262,968568.5786916466,0.0,-0.03143142130835341
category_cap1,2025-08-15,2.2041487406624557e-07,984179.2568728713,984179.2568730917,0.0,-0.015820743126908288
category_cap1,2025-08-18,2.1693995222449303e-07,1008403.6599365827,1008403.6599367997,0.6666270887948977,0.00840365993679959
category_cap1,2025-08-19,2.1694880154164277e-07,1016362.6079523151,1016362.6079525321,0.0,0.016362607952532082
category_cap1,2025-08-20,2.1695765121976988e-07,1026445.006602593,1026445.00660281,0.0,0.026445006602809906
category_cap1,2025-08-21,2.1696650125888909e-07,1023144.8165961665,1023144.8165963835,0.0,0.023144816596383455
category_cap1,2025-08-22,2.169753516590151e-07,1045014.4580417722,1045014.4580419892,0.0,0.045014458041989336
category_cap1,2025-08-25,2.1700190502558145e-07,1082061.7011926554,1082061.7011928724,0.0,0.08206170119287237
category_cap1,2025-08-26,2.1701075686988206e-07,1075937.7468525276,1075937.7468527446,0.0,0.07593774685274468
category_cap1,2025-08-27,2.1701960907526312e-07,1078375.8813809962,1078375.8813812132,0.0,0.07837588138121321
category_cap1,2025-08-28,2.1702846164173935e-07,1126350.0737896047,1126350.0737898217,0.0,0.12635007378982177
category_cap1,2025-08-29,2.170373145693255e-07,1133070.1818974696,1133070.1818976866,0.0,0.1330701818976865
category_cap1,2025-09-01,2.7619535103440285e-07,1168862.3240581367,1168862.3240584128,1.2963407672341067,0.16886232405841284
category_cap1,2025-09-02,2.762066174711819e-07,1129529.699238376,1129529.6992386521,0.0,0.1295296992386521
category_cap1,2025-09-03,2.762178843675364e-07,1124454.092386387,1124454.0923866632,0.0,0.12445409238666327
category_cap1,2025-09-04,2.7622915172348506e-07,1042921.8239696326,1042921.8239699089,0.0,0.04292182396990896
category_cap1,2025-09-05,2.7624041953904666e-07,1099525.336889551,1099525.3368898272,0.0,0.09952533688982723
category_cap1,2025-09-08,2.762742257435965e-07,1066886.1846869583,1066886.1846872347,0.0,0.06688618468723462
category_cap1,2025-09-09,2.762854953977973e-07,1053431.941387421,1053431.9413876974,0.0,0.05343194138769736
category_cap1,2025-09-10,2.7629676551170475e-07,1081678.4708525615,1081678.470852838,0.0,0.08167847085283797
category_cap1,2025-09-11,2.7630803608533766e-07,1157648.9202052057,1157648.920205482,0.0,0.15764892020548205
category_cap1,2025-09-12,2.7631930711871474e-07,1138573.757100565,1138573.7571008413,0.0,0.1385737571008412
category_cap1,2025-09-15,2.7491478249430656e-07,1132346.7856991119,1132346.7856993868,1.3316368003149084,0.13234678569938674
category_cap1,2025-09-16,2.7492599669470855e-07,1134777.2803800944,1134777.2803803694,0.0,0.1347772803803693
category_cap1,2025-09-17,2.7493721135255517e-07,1141931.8523292905,1141931.8523295654,0.0,0.1419318523295654
